Date,Close
2018-04-09,17.35
2018-04-10,16.96
2018-04-11,16.3
2018-04-12,15.89
2018-04-13,15.83
2018-04-16,15.72
2018-04-17,16.76
2018-04-18,17.11
2018-04-19,17.2
2018-04-20,16.86
2018-04-23,16.8
2018-04-24,16.77
2018-04-25,16.96
2018-04-26,17.4
2018-04-27,18.11
2018-04-30,18.68
2018-05-01,18.59
2018-05-02,17.53
2018-05-03,17.66
2018-05-04,18.37
2018-05-07,18.3
2018-05-08,17.92
2018-05-09,18.39
2018-05-10,18.6
2018-05-11,18.17
2018-05-14,17.37
2018-05-15,17.24
2018-05-16,17.93
2018-05-17,17.95
2018-05-18,18.51
2018-05-21,18.47
2018-05-22,19.03
2018-05-23,18.61
2018-05-24,17.19
2018-05-25,17.33
2018-05-29,16.79
2018-05-30,16.8
2018-05-31,16.28
2018-06-01,16.77
2018-06-04,17.23
2018-06-05,17.23
2018-06-06,16.85
2018-06-07,16.71
2018-06-08,16.49
2018-06-11,16.27
2018-06-12,16.05
2018-06-13,16.87
2018-06-14,16.71
2018-06-15,16.53
2018-06-18,16.23
2018-06-19,15.89
2018-06-20,15.9
2018-06-21,15.53
2018-06-22,15.6
2018-06-25,15.34
2018-06-26,15.1
2018-06-27,14.71
2018-06-28,15.45
2018-06-29,15.75
2018-07-02,16.2
2018-07-03,16.09
2018-07-05,16.76
2018-07-06,16.64
2018-07-09,16.34
2018-07-10,16.37
2018-07-11,16.28
2018-07-12,16.48
2018-07-13,16.23
2018-07-16,16.28
2018-07-17,16
2018-07-18,16
2018-07-19,15.96
2018-07-20,16.07
2018-07-23,16.07
2018-07-24,16.33
2018-07-25,16.23
2018-07-26,16.21
2018-07-27,15.94
2018-07-30,15.79
2018-07-31,15.79
2018-08-01,15.74
2018-08-02,15.87
2018-08-03,15.93
2018-08-06,15.69
2018-08-07,15.88
2018-08-08,15.19
2018-08-09,15.17
2018-08-10,15.17
2018-08-13,15
2018-08-14,15.13
2018-08-15,15.66
2018-08-16,14.18
2018-08-17,13.87
2018-08-20,14.26
2018-08-21,13.69
2018-08-22,13.62
2018-08-23,13.45
2018-08-24,13.59
2018-08-27,13.81
2018-08-28,13.74
2018-08-29,14.09
2018-08-30,14.03
2018-08-31,14.2
2018-09-04,14.21
2018-09-05,14.12
2018-09-06,14.2
2018-09-07,13.9
2018-09-10,13.78
2018-09-11,13.55
2018-09-12,13.25
2018-09-13,12.74
2018-09-14,12.81
2018-09-17,12.85
2018-09-18,12.63
2018-09-19,13.26
2018-09-20,12.96
2018-09-21,13.2
2018-09-24,13.27
2018-09-25,13.21
2018-09-26,12.71
2018-09-27,12.92
2018-09-28,13.17
2018-10-01,12.91
2018-10-02,13.01
2018-10-03,13.3
2018-10-04,12.81
2018-10-05,12.49
2018-10-08,12.3
2018-10-09,12.01
2018-10-10,11.71
2018-10-11,11.72
2018-10-12,12.12
2018-10-15,12.07
2018-10-16,12.22
2018-10-17,12.2
2018-10-18,12.2
2018-10-19,12.67
2018-10-22,12.73
2018-10-23,13.04
2018-10-24,12.79
2018-10-25,12.83
2018-10-26,12.85
2018-10-29,12.8
2018-10-30,12.69
2018-10-31,13.2
2018-11-01,13.72
2018-11-02,13.08
2018-11-05,13.06
2018-11-06,12.94
2018-11-07,13.09
2018-11-08,13.04
2018-11-09,12.75
2018-11-12,12.55
2018-11-13,12.75
2018-11-14,14.15
2018-11-15,14.44
2018-11-16,14.12
2018-11-19,13.98
2018-11-20,14.2
2018-11-21,14.48
2018-11-23,14.28
2018-11-26,14.84
2018-11-27,14.68
2018-11-28,14.96
2018-11-29,14.61
2018-11-30,15.04
2018-12-03,14.99
2018-12-04,14.43
2018-12-06,14.64
2018-12-07,14.43
2018-12-10,14.6
2018-12-11,14.6
2018-12-12,14.75
2018-12-13,14.87
2018-12-14,14.53
2018-12-17,14.23
2018-12-18,14.46
2018-12-19,14.48
2018-12-20,13.77
2018-12-21,13.09
2018-12-24,12.96
2018-12-26,13.88
2018-12-27,13.42
2018-12-28,13.68
2018-12-31,14.14
2019-01-02,14.08
2019-01-03,13.67
2019-01-04,14.21
2019-01-07,14.38
2019-01-08,14.28
2019-01-09,14.48
2019-01-10,14.41
2019-01-11,14.19
2019-01-14,14.36
2019-01-15,14.61
2019-01-16,14.65
2019-01-17,14.44
2019-01-18,14.35
2019-01-22,14.76
2019-01-23,14.91
2019-01-24,15.41
2019-01-25,15.4
2019-01-28,15.51
2019-01-29,15.42
2019-01-30,15.72
2019-01-31,16
2019-02-01,16.3
2019-02-04,16.33
2019-02-05,16.04
2019-02-06,16.09
2019-02-07,15.99
2019-02-08,15.94
2019-02-11,16.17
2019-02-12,16.32
2019-02-13,15.03
2019-02-14,14.45
2019-02-15,14.29
2019-02-19,14.42
2019-02-20,14.43
2019-02-21,14.19
2019-02-22,14.23
2019-02-25,14.16
2019-02-26,14.06
2019-02-27,13.82
2019-02-28,14.08
2019-03-01,14.17
2019-03-04,13.86
2019-03-05,13.76
2019-03-06,13.59
2019-03-07,13.55
2019-03-08,13.62
2019-03-11,13.66
2019-03-12,13.56
2019-03-13,14.13
2019-03-14,14.46
2019-03-15,14.77
2019-03-18,14.5
2019-03-19,14.42
2019-03-20,14.35
2019-03-21,14.48
2019-03-22,14.33
2019-03-25,14.36
2019-03-26,14.65
2019-03-27,14.47
2019-03-28,14.28
2019-03-29,14.39
2019-04-01,14.59
2019-04-02,14.58
2019-04-03,14.35
2019-04-04,14.24
2019-04-05,14.47
